City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,igarka,67.4667,86.5833,-18.66,98,34,3.41,RU,1681842767
274,tolanaro,-25.0319,46.9987,24.04,88,20,6.17,MG,1681842767
275,walvis bay,-22.9575,14.5053,22.37,52,86,4.95,NA,1681842767
276,najran,17.4924,44.1277,25.36,37,83,4.35,SA,1681842767
277,punta arenas,-53.15,-70.9167,10.06,66,75,8.75,CL,1681842639
278,saudarkrokur,65.7461,-19.6394,8.98,87,100,2.04,IS,1681842767
279,alofi,-19.0595,-169.9187,22.94,100,100,2.06,NU,1681842768
280,lebu,-37.6167,-73.65,13.73,78,100,2.46,CL,1681842768
281,weno,7.4515,151.8468,27.57,80,100,8.69,FM,1681842768
282,zhangye,38.9342,100.4517,12.1,37,46,12.12,CN,1681842768
283,bannu,32.9854,70.6027,23.14,60,100,1.71,PK,1681842768
284,katsuura,35.1333,140.3,18.01,86,98,11.11,JP,1681842768
285,jamestown,42.097,-79.2353,2.77,76,100,8.23,US,1681842587
286,shetpe,44.1667,52.1167,11.05,22,51,8.65,KZ,1681842768
287,muisne,0.6,-80.0333,28.43,73,37,3.58,EC,1681842768
288,constitucion,-35.3333,-72.4167,16.95,50,3,8.07,CL,1681842768
289,inari,68.906,27.0288,3.11,96,100,4.47,FI,1681842768
290,antofagasta,-23.65,-70.4,19.6,72,98,4.67,CL,1681842759
291,pierre,44.3683,-100.351,14.92,34,0,16.99,US,1681842707
292,kailua-kona,19.6406,-155.9956,26.24,64,0,0.45,US,1681842769
293,queenstown,-31.8976,26.8753,16.18,38,0,0.67,ZA,1681842769
294,kaka,37.3482,59.6143,10.38,21,6,2.83,TM,1681842769
295,portland,45.5234,-122.6762,9.3,75,100,7.72,US,1681842046
296,chropyne,49.3564,17.3645,13.98,62,97,5.36,CZ,1681842495
297,sana,15.3547,44.2067,20.45,37,74,4.93,YE,1681842769
298,princeton,25.5384,-80.4089,29.01,55,0,4.63,US,1681842769
299,rock springs,41.5875,-109.2029,6.69,61,40,0.0,US,1681842543
